timestamp,user,ip_address,status,country,user_agent
2026-03-27 08:01:12,alice@company.com,192.168.1.10,SUCCESS,UAE,Mozilla/5.0
2026-03-27 08:03:44,bob@company.com,192.168.1.22,SUCCESS,UAE,Mozilla/5.0
2026-03-27 08:15:00,alice@company.com,192.168.1.10,SUCCESS,UAE,Mozilla/5.0
2026-03-27 09:00:01,carol@company.com,10.0.0.5,SUCCESS,UAE,Mozilla/5.0
2026-03-27 09:05:10,attacker@evil.com,45.33.32.156,FAIL,Russia,curl/7.68
2026-03-27 09:05:12,attacker@evil.com,45.33.32.156,FAIL,Russia,curl/7.68
2026-03-27 09:05:13,attacker@evil.com,45.33.32.156,FAIL,Russia,curl/7.68
2026-03-27 09:05:14,attacker@evil.com,45.33.32.156,FAIL,Russia,curl/7.68
2026-03-27 09:05:15,attacker@evil.com,45.33.32.156,FAIL,Russia,curl/7.68
2026-03-27 09:05:16,attacker@evil.com,45.33.32.156,FAIL,Russia,curl/7.68
2026-03-27 09:05:17,attacker@evil.com,45.33.32.156,FAIL,Russia,curl/7.68
2026-03-27 09:05:18,attacker@evil.com,45.33.32.156,FAIL,Russia,curl/7.68
2026-03-27 09:05:19,attacker@evil.com,45.33.32.156,FAIL,Russia,curl/7.68
2026-03-27 09:05:20,attacker@evil.com,45.33.32.156,FAIL,Russia,curl/7.68
2026-03-27 09:05:21,attacker@evil.com,45.33.32.156,SUCCESS,Russia,curl/7.68
2026-03-27 09:10:00,bob@company.com,203.0.113.99,SUCCESS,China,Mozilla/5.0
2026-03-27 09:10:45,bob@company.com,192.168.1.22,SUCCESS,UAE,Mozilla/5.0
2026-03-27 10:00:00,dave@company.com,192.168.1.50,FAIL,UAE,Mozilla/5.0
2026-03-27 10:00:05,dave@company.com,192.168.1.50,FAIL,UAE,Mozilla/5.0
2026-03-27 10:00:10,dave@company.com,192.168.1.50,FAIL,UAE,Mozilla/5.0
2026-03-27 10:00:15,dave@company.com,192.168.1.50,FAIL,UAE,Mozilla/5.0
2026-03-27 10:00:20,dave@company.com,192.168.1.50,FAIL,UAE,Mozilla/5.0
2026-03-27 10:00:25,dave@company.com,192.168.1.50,SUCCESS,UAE,Mozilla/5.0
2026-03-27 11:30:00,eve@company.com,198.51.100.77,SUCCESS,Germany,Mozilla/5.0
2026-03-27 11:30:05,eve@company.com,45.33.32.200,SUCCESS,Brazil,Mozilla/5.0
2026-03-27 12:00:00,carol@company.com,10.0.0.5,SUCCESS,UAE,Mozilla/5.0
2026-03-27 13:00:00,frank@company.com,192.168.1.88,SUCCESS,UAE,Mozilla/5.0
2026-03-27 13:05:00,ghost_service@internal,172.16.0.5,SUCCESS,UAE,python-requests/2.27
2026-03-27 13:05:10,ghost_service@internal,172.16.0.5,SUCCESS,UAE,python-requests/2.27
2026-03-27 13:05:20,ghost_service@internal,172.16.0.5,SUCCESS,UAE,python-requests/2.27
2026-03-27 13:05:30,ghost_service@internal,172.16.0.5,SUCCESS,UAE,python-requests/2.27
2026-03-27 13:05:40,ghost_service@internal,172.16.0.5,SUCCESS,UAE,python-requests/2.27
2026-03-27 13:05:50,ghost_service@internal,172.16.0.5,SUCCESS,UAE,python-requests/2.27
2026-03-27 14:00:00,alice@company.com,192.168.1.10,SUCCESS,UAE,Mozilla/5.0
2026-03-27 14:30:00,bob@company.com,192.168.1.22,SUCCESS,UAE,Mozilla/5.0
2026-03-27 23:47:00,dave@company.com,192.168.1.50,SUCCESS,UAE,Mozilla/5.0
2026-03-27 23:52:00,dave@company.com,192.168.1.50,SUCCESS,UAE,Mozilla/5.0
2026-03-27 23:57:00,dave@company.com,192.168.1.50,SUCCESS,UAE,Mozilla/5.0
